route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
23630,MARTA,107,Glenwood,,3,https://itsmarta.com/107.aspx,008000,000000
23631,MARTA,110,Peachtree Road / Buckhead,,3,https://itsmarta.com/110.aspx,FF8040,000000
24146,MARTA,111,Snapfinger Woods,,3,https://itsmarta.com/111.aspx,008000,000000
23633,MARTA,114,Columbia Drive,,3,https://itsmarta.com/114.aspx,FF8040,000000
24147,MARTA,115,Covington Highway,,3,https://itsmarta.com/115.aspx,00FF00,000000
23635,MARTA,116,Redan Road,,3,https://itsmarta.com/116.aspx,00FFFF,000000
23709,MARTA,117,Rockbridge Road / Panola Road,,3,https://itsmarta.com/117.aspx,00FF00,000000
24145,MARTA,119,Hairston Road / Stone Mtn Village,,3,https://itsmarta.com/119.aspx,008080,000000
23638,MARTA,120,East Ponce De Leon Avenue,,3,https://itsmarta.com/120.aspx,FF00FF,000000
23639,MARTA,121,Memorial Drive / N Hairston Road,,3,https://itsmarta.com/121.aspx,00FFFF,000000
23640,MARTA,123,Church Street,,3,https://itsmarta.com/123.aspx,00FF00,000000
23641,MARTA,124,Pleasantdale Road,,3,https://itsmarta.com/124.aspx,FF00FF,000000
24148,MARTA,125,Clarkston,,3,https://itsmarta.com/125.aspx,008000,000000
23643,MARTA,126,Embry Hills,,3,https://itsmarta.com/126.aspx,008000,000000
23644,MARTA,132,Tilly Mill Road,,3,https://itsmarta.com/132.aspx,FF00FF,000000
23645,MARTA,133,Shallowford Road,,3,https://itsmarta.com/133.aspx,FFFF00,000000
23646,MARTA,140,North Point Parkway,,3,https://itsmarta.com/140.aspx,FF8000,000000
23647,MARTA,141,Haynes Bridge Road / Milton,,3,https://itsmarta.com/141.aspx,FF00FF,000000
23648,MARTA,142,East Holcomb Bridge Road,,3,https://itsmarta.com/142.aspx,FF00FF,000000
23649,MARTA,143,Windward Park & Ride,,3,https://itsmarta.com/143.aspx,00FFFF,000000
23650,MARTA,148,Mount Vernon Highway,,3,https://itsmarta.com/148.aspx,00FF00,000000
23651,MARTA,150,Dunwoody Village,,3,https://itsmarta.com/150.aspx,00FFFF,000000
23652,MARTA,153,James Jackson Parkway,,3,https://itsmarta.com/153.aspx,FF8000,000000
23653,MARTA,155,Pittsburgh,,3,https://itsmarta.com/155.aspx,00FFFF,000000
23654,MARTA,162,Myrtle Drive / Alison Court,,3,https://itsmarta.com/162.aspx,008080,000000
23655,MARTA,165,Fairburn Road,,3,https://itsmarta.com/165.aspx,00FFFF,000000
23656,MARTA,172,Sylvan Road / Virginia Avenue,,3,https://itsmarta.com/172.aspx,FF8040,000000
23657,MARTA,178,Empire Blvd / Southside Ind Park,,3,https://itsmarta.com/178.aspx,00FFFF,000000
23658,MARTA,180,Roosevelt Highway,,3,https://itsmarta.com/180.aspx,FF00FF,000000
23659,MARTA,181,Washington Road / Fairburn,,3,https://itsmarta.com/181.aspx,FF8040,000000
24135,MARTA,183,Greenbriar,,3,https://itsmarta.com/183.aspx,008000,000000
23661,MARTA,185,Alpharetta,,3,https://itsmarta.com/185.aspx,FF8000,000000
24138,MARTA,186,Rainbow Drive / South DeKalb,,3,https://itsmarta.com/186.aspx,00FF00,000000
23663,MARTA,188,Oakley Industrial,,3,https://itsmarta.com/188.aspx,FF00FF,000000
23664,MARTA,189,Flat Shoals Road / Scofield Road,,3,https://itsmarta.com/189.aspx,FF00FF,000000
23665,MARTA,191,Riverdale / ATL Intl Terminal,,3,https://itsmarta.com/191.aspx,FF00FF,000000
23666,MARTA,192,Old Dixie / Tara Boulevard,,3,https://itsmarta.com/192.aspx,008000,000000
23667,MARTA,193,Morrow / Jonesboro,,3,https://itsmarta.com/193.aspx,008080,000000
23668,MARTA,194,Conley Road / Mt Zion,,3,https://itsmarta.com/194.aspx,008000,000000
23669,MARTA,195,Forest Parkway,,3,https://itsmarta.com/195.aspx,FF00FF,000000
23670,MARTA,196,Upper Riverdale,,3,https://itsmarta.com/196.aspx,00FFFF,000000
23671,MARTA,197,Battle Creek Road,,3,https://itsmarta.com/197.aspx,FF00FF,000000
23672,MARTA,198,Southlake Parkway,,3,https://itsmarta.com/198.aspx,00FF00,000000
23673,MARTA,201,Six Flags Over Georgia,,3,https://itsmarta.com/201.aspx,008000,000000
23674,MARTA,221,Memorial Drive Limited,,3,https://itsmarta.com/221.aspx,FF00FF,000000
23675,MARTA,295,Metropolitan Campus Express,,3,https://itsmarta.com/295.aspx,008000,000000
23685,MARTA,800,Lovejoy,,3,https://itsmarta.com/800.aspx,00FF00,000000
23686,MARTA,809,Monroe Drive / Boulevard,,3,https://itsmarta.com/809.aspx,FF0000,000000
23687,MARTA,813,Atlanta University Center,,3,https://itsmarta.com/813.aspx,00FFFF,000000
24139,MARTA,816,North Highland Avenue,,3,https://itsmarta.com/816.aspx,00FFFF,000000
23689,MARTA,823,Belvedere,,3,https://itsmarta.com/823.aspx,00FF00,000000
23690,MARTA,825,Johnson Ferry Road,,3,https://itsmarta.com/825.aspx,FF0000,000000
23691,MARTA,832,Grant Park,,3,https://itsmarta.com/832.aspx,00FF00,000000
23692,MARTA,850,Carroll Heights / Fairburn Heights,,3,https://itsmarta.com/850.aspx,FF00FF,000000
23693,MARTA,853,Center Hill,,3,https://itsmarta.com/853.aspx,A6CAF0,000000
23694,MARTA,856,Baker Hills / Wilson Mill Meadows,,3,https://itsmarta.com/856.aspx,FF8040,000000
23695,MARTA,865,Boulder Park Drive,,3,https://itsmarta.com/865.aspx,00FF00,000000
23696,MARTA,867,Peyton Forest / Dixie Hills,,3,https://itsmarta.com/867.aspx,00FFFF,000000
24140,MARTA,899,Old Fourth Ward,,3,https://itsmarta.com/899.aspx,FF00FF,000000
23699,MARTA,ATLSC,Atlanta Streetcar,,0,https://itsmarta.com/Atlanta-Street-Car-Info.aspx,FF00FF,000000
23701,MARTA,BLUE,BLUE,,1,https://itsmarta.com/Blue-Line.aspx,0075B2,000000
23702,MARTA,GOLD,GOLD,,1,https://itsmarta.com/Gold-Line.aspx,D4A723,000000
23703,MARTA,GREEN,GREEN,,1,https://itsmarta.com/Green-Line.aspx,009D4B,000000
23704,MARTA,RED,RED,,1,https://itsmarta.com/Red-Line.aspx,CE242B,000000
